Age,Review Text,Rating,Positive Feedback Count,Department Name
44,,1,0,Tops
33,,3,17,Tops
39,,4,0,Tops
40,,4,5,Tops
69,,5,2,Tops
23,,2,9,Tops
51,,2,0,Tops
66,,5,0,Tops
47,,4,11,Tops
66,,4,0,Tops
23,,5,3,Tops
47,,5,0,Dresses
44,,1,11,Tops
44,,3,4,Dresses
50,,5,24,Tops
61,,5,3,Dresses
32,,2,0,Dresses
52,,4,0,Tops
51,,4,1,Dresses
32,,5,2,Dresses
37,,2,0,Tops
54,,5,4,Tops
33,,5,0,Tops
63,,5,0,Jackets
29,,5,0,Dresses
24,,5,0,Tops
50,,3,2,Tops
34,,3,1,Dresses
71,,4,0,Jackets
30,,5,0,Jackets
52,,4,0,Jackets
28,,5,0,Tops
62,,4,3,Tops
39,,3,0,Dresses
46,,4,1,Tops
36,,5,0,Jackets
65,,5,12,Tops
31,,4,0,Jackets
52,,4,0,Tops
34,,4,1,Intimate
31,,5,1,Bottoms
36,,5,0,Tops
39,,4,2,Tops
51,,5,0,Bottoms
39,,3,9,Tops
39,,3,2,Tops
39,,5,0,Bottoms
47,,5,1,Bottoms
64,,5,0,Bottoms
38,,5,2,Bottoms
36,,5,1,Bottoms
39,,4,0,Bottoms
53,,3,0,Tops
36,,3,1,Tops
44,,3,0,Tops
48,,5,0,Tops
37,,5,1,Bottoms
43,,3,2,Intimate
53,,4,7,Tops
33,,4,0,Tops
39,,4,0,Jackets
52,,1,8,Tops
64,,4,2,Tops
52,,5,7,Bottoms
42,,4,0,Jackets
56,,5,6,Bottoms
55,,5,0,Tops
47,,5,3,Dresses
36,,5,0,Intimate
46,,5,0,Intimate
66,,4,0,Intimate
51,,4,0,Tops
34,,5,5,Bottoms
30,,4,4,Tops
43,,5,9,Tops
52,,5,0,Tops
35,,2,0,Dresses
41,,5,3,Tops
39,,5,1,Tops
39,,4,1,Bottoms
50,,5,5,Tops
27,,4,1,Bottoms
33,,2,8,Tops
35,,2,0,Tops
34,,4,0,Bottoms
41,,5,2,Trend
54,,4,0,Dresses
41,,4,4,Bottoms
47,,4,0,Tops
52,,2,3,Tops
22,,5,1,Bottoms
40,,3,0,Dresses
62,,5,9,Tops
26,,5,2,Tops
38,,5,3,Bottoms
53,,5,0,Tops
49,,3,0,Bottoms
43,,3,0,Tops
36,,3,0,Tops
63,,5,1,Tops
56,,4,4,Tops
48,,3,9,Bottoms
43,,5,1,Tops
44,,4,1,Bottoms
40,,5,0,Tops
44,,1,1,Tops
54,,5,0,Tops
72,,4,5,Bottoms
52,,4,3,Dresses
47,,5,0,Dresses
67,,1,17,Bottoms
39,,5,0,Dresses
46,,2,0,Intimate
64,,5,3,Tops
30,,5,0,Dresses
38,,5,1,Tops
36,,4,5,Tops
52,,5,1,Bottoms
61,,5,0,Tops
29,,5,1,Intimate
38,,4,10,Bottoms
35,,5,14,Bottoms
55,,5,1,Tops
57,,4,3,Bottoms
55,,4,5,Tops
39,,4,0,Bottoms
39,,5,13,Tops
46,,5,8,Bottoms
37,,2,1,Tops
29,,5,1,Bottoms
83,,5,0,Tops
29,,5,1,Bottoms
49,,5,0,Intimate
42,,2,0,Bottoms
63,,5,0,Tops
56,,3,20,Tops
55,,4,0,Bottoms
32,,1,3,Intimate
26,,5,0,Bottoms
60,,4,0,Tops
48,,3,0,Bottoms
38,,5,0,Tops
49,,3,1,Bottoms
41,,4,1,Jackets
28,,4,0,Bottoms
48,,5,1,Bottoms
32,,5,0,Tops
29,,5,1,Bottoms
32,,5,6,Intimate
28,,5,0,Tops
51,,4,1,Tops
44,,5,1,Tops
43,,4,0,Bottoms
48,,3,1,Tops
37,,5,1,Tops
31,,5,2,Jackets
50,,5,0,Tops
47,,3,1,Tops
56,,5,2,Jackets
25,,5,6,Dresses
54,,5,0,Dresses
28,,4,0,Jackets
26,,4,0,Tops
29,,5,0,Dresses
61,,3,0,Tops
45,,5,1,Jackets
39,,5,7,Jackets
36,,5,0,Dresses
41,,5,11,Tops
37,,5,0,Tops
55,,5,0,Tops
83,,5,1,Tops
35,,3,2,Tops
38,,5,3,Trend
35,,5,0,Jackets
45,,5,7,Dresses
65,,5,4,Tops
41,,5,1,Tops
69,,4,0,Tops
36,,5,0,Dresses
42,,2,1,Tops
69,,5,0,Jackets
46,,2,0,Tops
55,,5,0,Jackets
36,,5,2,Jackets
71,,5,0,Jackets
65,,5,0,Bottoms
68,,3,16,Jackets
43,,5,3,Jackets
30,,5,7,Dresses
40,,5,0,Bottoms
47,,5,0,Jackets
34,,5,0,Jackets
38,,4,1,Dresses
38,,5,0,Jackets
36,,5,0,Tops
41,,5,0,Dresses
36,,3,2,Jackets
47,,5,0,Jackets
63,,5,0,Dresses
35,,5,0,Tops
35,,4,2,Jackets
56,,5,0,Dresses
41,,5,0,Tops
37,,3,6,Dresses
34,,3,0,Tops
32,,4,4,Tops
60,,3,3,Tops
21,,5,8,Tops
59,,5,0,Tops
53,,5,4,Tops
27,,5,2,Tops
62,,5,7,Tops
41,,5,23,Tops
50,,5,3,Tops
54,,5,13,Tops
41,,5,0,Bottoms
43,,2,0,Tops
43,,5,1,Tops
23,,4,0,Tops
25,,5,0,Tops
51,,5,0,Tops
41,,3,0,Tops
49,,4,2,Dresses
46,,5,5,Tops
29,,5,6,Tops
53,,1,17,Tops
66,,5,6,Tops
32,,5,2,Tops
74,,5,9,Dresses
63,,5,0,Tops
41,,5,0,Tops
40,,4,0,Tops
40,,5,0,Tops
49,,5,3,Tops
44,,3,2,Tops
70,,5,1,Tops
30,,5,1,Tops
47,,5,0,Tops
27,,3,15,Tops
36,,2,0,Tops
69,,4,7,Tops
52,,5,1,Tops
32,,2,0,Tops
37,,5,4,Tops
32,,5,0,Tops
42,,1,6,Tops
51,,5,2,Tops
34,,3,0,Tops
37,,3,3,Tops
50,,4,17,Tops
36,,5,0,Tops
65,,3,0,Tops
60,,5,1,Intimate
46,,5,0,Tops
38,,4,0,Tops
37,,5,1,Tops
46,,5,4,Tops
29,,2,0,Tops
39,,5,0,Tops
25,,5,0,Tops
64,,5,4,Tops
57,,5,1,Tops
44,,5,2,Tops
44,,5,6,Tops
26,,4,0,Tops
37,,3,0,Tops
48,,5,0,Bottoms
35,,5,10,Tops
67,,5,0,Dresses
24,,4,1,Dresses
59,,3,13,Dresses
47,,4,0,Intimate
42,,3,0,Dresses
29,,5,0,Tops
54,,4,3,Tops
41,,2,11,Bottoms
62,,5,9,Tops
29,,4,0,Intimate
38,,1,20,Dresses
25,,4,9,Dresses
33,,5,1,Tops
34,,3,0,Intimate
53,,4,3,Dresses
46,,3,0,Intimate
33,,3,1,Tops
40,,3,2,Intimate
32,,5,0,Bottoms
38,,4,6,Tops
62,,5,11,Bottoms
34,,5,0,Dresses
26,,3,9,Dresses
31,,2,6,Tops
58,,5,3,Tops
40,,5,1,Dresses
22,,3,3,Dresses
55,,5,1,Tops
66,,4,0,Bottoms
39,,5,0,Tops
30,,5,1,Dresses
53,,5,3,Dresses
23,,5,6,Dresses
37,,5,1,Intimate
51,,5,0,Intimate
37,,4,2,Dresses
35,,5,14,Tops
35,,2,2,Dresses
40,,5,0,Tops
32,,3,1,Dresses
68,,5,2,Dresses
65,,4,0,Tops
37,,5,2,Jackets
39,,3,1,Dresses
22,,4,1,Tops
33,,4,0,Tops
33,,5,0,Jackets
38,,5,0,Dresses
32,,5,0,Tops
51,,5,0,Tops
56,,5,1,Jackets
38,,4,2,Tops
35,,4,0,Tops
48,,4,19,Tops
31,,4,0,Tops
38,,4,1,Intimate
58,,5,4,Jackets
63,,5,1,Bottoms
40,,5,5,Jackets
41,,4,0,Dresses
60,,4,1,Tops
60,,5,1,Tops
48,,4,6,Tops
70,,4,0,Tops
27,,5,0,Jackets
32,,3,0,Dresses
26,,3,3,Tops
51,,5,1,Tops
48,,5,0,Tops
30,,2,0,Dresses
56,,4,1,Jackets
27,,5,2,Tops
44,,5,1,Jackets
39,,5,2,Tops
33,,4,0,Intimate
60,,4,0,Tops
44,,4,0,Tops
71,,5,0,Tops
44,,5,6,Tops
52,,5,5,Tops
23,,3,1,Tops
69,,4,1,Intimate
48,,5,0,Tops
35,,5,6,Tops
59,,5,4,Tops
61,,5,1,Dresses
45,,5,0,Tops
25,,5,1,Dresses
33,,3,0,Dresses
40,,4,0,Jackets
68,,5,3,Tops
30,,5,0,Intimate
20,,5,1,Dresses
42,,2,2,Tops
52,,5,1,Dresses
42,,5,2,Jackets
24,,4,0,Bottoms
43,,4,0,Tops
51,,3,0,Dresses
39,,5,1,Tops
39,,5,0,Dresses
39,,4,1,Tops
57,,4,0,Tops
35,,4,0,Tops
46,,5,1,Dresses
51,,5,4,Tops
39,,5,0,Tops
55,,5,0,Tops
42,,5,0,Tops
40,,4,0,Jackets
31,,4,4,Dresses
59,,5,10,Dresses
53,,4,0,Tops
41,,5,1,Tops
49,,5,2,Dresses
33,,3,0,Tops
36,,2,1,Dresses
29,,3,15,Tops
49,,4,2,Tops
39,,5,0,Dresses
40,,2,0,Tops
57,,5,0,Tops
56,,4,0,Tops
51,,3,11,Dresses
58,,5,7,Tops
67,,4,0,Dresses
36,,5,8,Dresses
27,,5,4,Tops
60,,2,2,Tops
49,,5,3,Dresses
49,,3,7,Tops
35,,5,3,Dresses
60,,5,3,Tops
53,,5,1,Dresses
38,,4,29,Tops
48,,2,0,Tops
42,,5,0,Jackets
50,,4,0,Tops
41,,5,4,Dresses
26,,5,4,Dresses
25,,5,0,Dresses
34,,5,1,Tops
31,,3,0,Jackets
47,,5,1,Dresses
61,,5,0,Jackets
52,,5,1,Tops
56,,3,0,Tops
68,,3,1,Dresses
39,,5,0,Tops
40,,4,0,Dresses
45,,5,1,Tops
28,,4,0,Tops
33,,5,0,Dresses
71,,5,0,Dresses
46,,5,0,Jackets
36,,4,2,Dresses
35,,5,0,Dresses
58,,5,6,Jackets
53,,5,2,Dresses
64,,5,32,Jackets
45,,3,0,Tops
44,,5,0,Tops
52,,3,2,Dresses
49,,2,0,Dresses
52,,5,0,Jackets
56,,4,0,Tops
35,,5,0,Jackets
38,,4,0,Tops
32,,4,0,Dresses
39,,5,0,Bottoms
32,,4,0,Tops
35,,5,2,Dresses
34,,5,0,Dresses
36,,4,1,Dresses
40,,5,0,Bottoms
47,,1,12,Tops
41,,4,0,Bottoms
33,,5,2,Tops
33,,4,3,Tops
39,,5,3,Tops
54,,4,4,Bottoms
39,,5,0,Bottoms
24,,5,0,Tops
64,,5,30,Dresses
40,,5,1,Tops
39,,4,0,Bottoms
42,,3,3,Dresses
34,,2,2,Tops
29,,2,3,Tops
49,,3,1,Tops
39,,3,0,Bottoms
48,,4,2,Dresses
66,,5,2,Tops
25,,4,0,Dresses
36,,4,0,Dresses
46,,2,1,Tops
37,,5,1,Tops
42,,5,1,Tops
26,,4,1,Tops
33,,5,2,Tops
52,,5,0,Tops
41,,5,0,Tops
25,,5,0,Bottoms
47,,3,0,Bottoms
24,,4,0,Tops
32,,3,5,Dresses
44,,4,1,Bottoms
66,,5,2,Tops
64,,5,1,Tops
39,,5,0,Dresses
42,,1,1,Bottoms
35,,5,0,Tops
59,,5,0,Dresses
64,,3,1,Dresses
40,,4,11,Tops
22,,4,1,Bottoms
53,,3,4,Dresses
34,,2,1,Bottoms
29,,4,2,Intimate
24,,5,1,Jackets
37,,5,0,Bottoms
65,,5,0,Jackets
36,,5,6,Bottoms
35,,4,0,Intimate
27,,5,3,Bottoms
36,,4,0,Intimate
28,,5,1,Intimate
46,,5,0,Intimate
70,,3,0,Intimate
57,,5,0,Intimate
69,,4,12,Intimate
28,,5,0,Intimate
36,,5,4,Intimate
40,,4,0,Intimate
80,,5,6,Bottoms
44,,4,0,Tops
36,,5,3,Intimate
41,,5,2,Tops
48,,1,3,Tops
49,,5,11,Intimate
42,,3,1,Bottoms
37,,4,0,Intimate
38,,5,4,Bottoms
58,,5,0,Tops
47,,4,2,Bottoms
36,,5,1,Intimate
66,,5,0,Bottoms
51,,4,7,Bottoms
38,,5,0,Bottoms
40,,4,2,Intimate
35,,2,8,Bottoms
36,,4,1,Intimate
37,,1,0,Bottoms
30,,4,1,Jackets
35,,5,0,Intimate
48,,5,0,Bottoms
49,,5,1,Bottoms
70,,5,11,Intimate
40,,5,8,Bottoms
38,,2,0,Bottoms
27,,5,0,Intimate
46,,5,1,Bottoms
50,,5,0,Tops
65,,2,55,Intimate
22,,5,1,Bottoms
93,,5,3,Intimate
43,,5,10,Tops
67,,5,4,Bottoms
45,,5,0,Bottoms
42,,5,1,Bottoms
58,,5,6,Bottoms
52,,5,1,Intimate
25,,5,1,Intimate
35,,4,0,Intimate
37,,4,2,Intimate
29,,2,7,Tops
29,,3,0,Bottoms
47,,4,0,Bottoms
25,,5,1,Tops
39,,5,0,Intimate
30,,5,0,Bottoms
34,,2,17,Bottoms
60,,3,0,Bottoms
45,,5,1,Bottoms
55,,5,1,Bottoms
34,,4,0,Intimate
36,,4,1,Tops
62,,4,1,Dresses
57,,5,1,Tops
23,,5,0,Dresses
37,,4,0,Tops
68,,5,0,Intimate
36,,3,1,Tops
52,,5,84,Dresses
39,,5,0,Tops
33,,5,0,Tops
48,,5,2,Bottoms
23,,1,2,Dresses
38,,5,1,Bottoms
24,,4,0,Dresses
38,,3,1,Tops
52,,5,0,Tops
36,,5,12,Dresses
26,,5,1,Tops
35,,2,11,Dresses
48,,5,9,Tops
59,,3,14,Tops
46,,4,0,Tops
49,,5,7,Trend
31,,3,0,Intimate
29,,5,0,Tops
45,,2,27,Dresses
40,,5,14,Bottoms
69,,5,1,Trend
28,,5,2,Intimate
74,,4,1,Tops
48,,4,2,Dresses
35,,4,0,Dresses
50,,5,0,Tops
38,,5,1,Tops
42,,5,0,Tops
45,,5,8,Tops
38,,5,0,Tops
51,,5,1,Tops
38,,5,0,Tops
46,,5,2,Tops
30,,5,0,Tops
45,,5,43,Tops
31,,5,1,Intimate
36,,5,1,Tops
49,,4,0,Tops
39,,4,0,Dresses
55,,3,2,Dresses
36,,5,0,Dresses
25,,4,0,Tops
41,,5,5,Tops
38,,4,0,Dresses
29,,3,11,Intimate
34,,5,4,Tops
66,,3,0,Trend
29,,5,15,Dresses
44,,5,1,Tops
47,,4,7,Tops
39,,4,0,Tops
44,,4,1,Dresses
40,,3,2,Tops
39,,1,0,Tops
50,,4,0,Tops
52,,5,1,Trend
54,,3,1,Tops
34,,5,5,Tops
60,,5,14,Tops
22,,5,0,Tops
58,,5,0,Dresses
62,,3,0,Dresses
43,,2,2,Dresses
26,,5,0,Tops
37,,5,0,Tops
33,,5,4,Intimate
43,,5,0,Tops
44,,5,21,Tops
37,,3,1,Tops
49,,3,0,Tops
34,,4,42,Dresses
40,,5,1,Intimate
42,,4,1,Intimate
36,,3,2,Dresses
46,,2,4,Tops
32,,1,0,Tops
24,,4,1,Dresses
44,,4,0,Dresses
33,,5,0,Intimate
38,,2,2,Dresses
42,,5,29,Dresses
35,,2,0,Dresses
52,,5,1,Tops
38,,5,3,Tops
25,,5,1,Tops
56,,5,1,Tops
56,,2,0,Dresses
23,,5,0,Tops
53,,1,12,Tops
47,,3,0,Tops
45,,4,0,Tops
33,,5,0,Tops
56,,4,1,Tops
43,,3,2,Intimate
49,,5,1,Tops
36,,4,0,Tops
58,,3,1,Tops
35,,5,3,Dresses
66,,4,3,Intimate
43,,1,8,Tops
42,,3,12,Tops
43,,5,3,Tops
54,,5,0,Tops
43,,4,0,Tops
68,,5,3,Dresses
60,,4,0,Tops
32,,5,0,Tops
55,,5,2,Tops
39,,5,0,Tops
60,,5,1,Tops
50,,2,0,Tops
23,,2,14,Tops
39,,3,0,Tops
32,,5,0,Tops
56,,5,0,Tops
61,,5,7,Dresses
34,,5,0,Dresses
48,,3,2,Tops
34,,2,0,Tops
42,,3,0,Tops
49,,4,0,Dresses
29,,4,0,Tops
43,,2,0,Tops
63,,3,1,Tops
34,,5,0,Jackets
60,,4,2,Tops
39,,5,2,Dresses
39,,4,7,Bottoms
32,,5,24,Tops
39,,2,15,Tops
54,,3,0,Tops
71,,4,0,Tops
46,,3,0,Tops
30,,2,0,Tops
59,,2,2,Tops
26,,3,2,Dresses
46,,5,37,Tops
31,,4,0,Tops
46,,4,0,Tops
35,,2,1,Tops
61,,2,0,Tops
34,,4,6,Tops
55,,2,0,Tops
36,,5,6,Dresses
46,,5,0,Dresses
49,,4,0,Tops
28,,3,0,Jackets
74,,5,2,Jackets
37,,4,0,Tops
38,,5,0,Trend
82,,5,5,Dresses
49,,1,7,Bottoms
41,,4,0,Tops
35,,5,0,Tops
23,,5,0,Tops
37,,5,0,Tops
41,,5,5,Dresses
56,,5,6,Dresses
42,,5,1,Dresses
30,,5,0,Tops
52,,4,1,Tops
43,,5,1,Intimate
29,,3,1,Tops
27,,5,1,Tops
26,,5,0,Tops
28,,5,2,Dresses
45,,3,13,Jackets
29,,5,0,Tops
47,,4,0,Dresses
28,,5,0,Tops
38,,2,17,Bottoms
64,,5,1,Tops
64,,4,3,Jackets
52,,5,6,Tops
52,,5,3,Jackets
72,,4,2,Tops
43,,5,1,Bottoms
39,,2,11,Tops
29,,2,0,Bottoms
47,,3,9,Dresses
28,,4,0,Tops
51,,5,0,Dresses
35,,5,9,Tops
66,,5,1,Bottoms
50,,2,4,Dresses
37,,5,3,Bottoms
36,,4,4,Bottoms
43,,2,11,Bottoms
42,,5,0,Bottoms
60,,4,1,Bottoms
44,,4,3,Dresses
63,,2,0,Bottoms
26,,5,0,Bottoms
42,,1,4,Dresses
48,,5,0,Intimate
34,,5,3,Tops
43,,5,0,Tops
59,,3,2,Tops
36,,5,0,Tops
66,,4,0,Bottoms
39,,4,7,Tops
48,,4,2,Bottoms
52,,5,11,Bottoms
30,,1,1,Bottoms
40,,3,3,Tops
48,,3,0,Tops
53,,3,1,Bottoms
29,,5,0,Bottoms
46,,5,0,Bottoms
46,,5,2,Bottoms
40,,5,0,Tops
44,,4,2,Bottoms
56,,5,3,Tops
69,,5,0,Bottoms
47,,5,3,Dresses
21,,5,0,Bottoms
47,,2,0,Intimate
67,,3,1,Bottoms
66,,5,1,Tops
51,,5,3,Tops
35,,5,1,Bottoms
41,,5,1,Bottoms
46,,4,0,Bottoms
43,,5,0,Bottoms
43,,5,10,Bottoms
36,,5,8,Tops
41,,5,12,Bottoms
55,,5,0,Dresses
52,,5,0,Bottoms
50,,3,0,Bottoms
77,,5,1,Tops
39,,5,0,Tops
57,,4,1,Bottoms
65,,5,0,Tops
44,,5,1,Bottoms
45,,5,12,Bottoms
60,,3,0,Bottoms
35,,5,0,Bottoms
46,,5,0,Bottoms
27,,3,0,Dresses
30,,4,0,Tops
20,,5,12,Bottoms
51,,5,0,Tops
35,,5,6,Dresses
46,,2,0,Dresses
35,,4,0,Intimate
41,,5,10,Dresses
39,,3,0,Dresses
40,,4,0,Intimate
27,,5,0,Trend
40,,2,4,Intimate
36,,4,0,Tops
35,,4,0,Dresses
25,,5,1,Intimate
37,,4,2,Bottoms
29,,4,1,Intimate
44,,5,0,Dresses
31,,3,1,Tops
54,,5,0,Dresses
31,,5,11,Tops
82,,5,0,Tops
39,,5,0,Intimate
39,,4,1,Bottoms
28,,5,0,Tops
38,,4,0,Intimate
37,,2,0,Bottoms
41,,4,0,Intimate
36,,3,3,Trend
55,,5,5,Tops
43,,3,0,Bottoms
32,,5,0,Tops
55,,5,2,Tops
54,,5,0,Dresses
58,,5,0,Tops
67,,1,1,Dresses
47,,5,1,Bottoms
36,,5,6,Dresses
48,,5,1,Intimate
21,,4,3,Tops
29,,5,0,Dresses
50,,5,0,Intimate
36,,3,0,Dresses
41,,5,0,Tops
41,,5,1,Dresses
34,,5,2,Tops
41,,5,9,Dresses
33,,5,1,Tops
66,,5,3,Trend
45,,4,0,Bottoms
31,,5,4,Tops
68,,5,4,Tops
65,,5,11,Tops
51,,5,0,Bottoms
69,,3,15,Tops
48,,3,0,Dresses
41,,3,0,Tops
70,,5,3,Bottoms
37,,5,8,Tops
36,,5,1,Tops
29,,5,0,Tops
34,,5,2,Tops
48,,5,0,Intimate
63,,5,10,Bottoms
49,,4,0,Bottoms
35,,3,0,Tops
35,,4,0,Tops
83,,5,0,Tops
67,,5,4,Bottoms
39,,5,2,Dresses
39,,5,0,Tops
71,,5,3,Tops
34,,5,0,Bottoms
37,,5,2,Dresses
59,,3,0,Tops
40,,5,0,Tops
27,,5,0,Dresses
28,,3,4,Tops
44,,5,0,Intimate
47,,5,0,Tops
42,,5,0,Tops
31,,5,0,Tops
26,,4,0,Tops
59,,1,1,Tops
33,,5,1,Tops
47,,4,0,Tops
46,,5,1,Dresses
24,,5,2,Tops
34,,2,0,Bottoms
53,,4,3,Dresses
38,,5,0,Tops
58,,5,0,Tops
33,,3,6,Tops
67,,5,14,Tops
32,,5,1,Tops
59,,5,1,Tops
82,,5,0,Tops
46,,5,5,Dresses
34,,5,0,Tops
25,,5,0,Intimate
35,,5,0,Dresses
42,,5,0,Tops
35,,5,0,Tops
41,,4,0,Tops
53,,4,0,Tops
30,,5,0,Tops
50,,2,13,Tops
23,,5,1,Tops
52,,5,0,Tops
38,,5,6,Tops
66,,4,0,Tops
69,,1,2,Tops
40,,4,2,Tops
48,,3,0,Tops
40,,5,0,Tops
39,,4,0,Tops
71,,3,0,Tops
42,,5,3,Tops
57,,5,6,Tops
54,,4,0,Dresses
46,,2,0,Tops
23,,5,0,Tops
44,,2,1,Tops
45,,5,1,Tops
22,,5,4,Tops
35,,5,0,Tops
52,,5,0,Tops
50,,5,1,Dresses
48,,4,1,Bottoms
41,,4,2,Tops
53,,5,4,Tops
57,,2,6,Dresses
20,,5,1,Tops
30,,5,4,Intimate
42,,4,0,Dresses
53,,5,11,Dresses
26,,3,4,Tops
39,,2,1,Bottoms
47,,5,3,Tops
46,,5,0,Tops
33,,5,2,Tops
58,,4,4,Bottoms
49,,5,6,Dresses
52,,4,0,Dresses
55,,4,4,Tops
27,,5,7,Tops
46,,4,0,Tops
41,,5,3,Dresses
26,,2,9,Tops
40,,4,0,Tops
29,,3,0,Tops
72,,5,2,Tops
56,,3,3,Tops
23,,4,1,Bottoms
66,,3,0,Tops
31,,5,0,Tops
48,,5,1,Tops
54,,1,0,Tops
63,,2,0,Tops
32,,5,8,Dresses
77,,4,0,Dresses
40,,5,0,Tops
28,,5,1,Tops
39,,4,0,Tops
43,,1,4,Dresses
37,,3,6,Tops
44,,5,8,Tops
52,,5,7,Tops
33,,5,0,Tops
53,,4,0,Tops
65,,3,1,Bottoms
62,,3,4,Bottoms
45,,5,0,Bottoms
47,,1,6,Bottoms
42,,5,1,Bottoms
38,,4,0,Intimate
40,,3,17,Tops
39,,4,2,Bottoms
49,,2,4,Dresses
51,,4,0,Dresses
31,,1,0,Intimate
41,,3,5,Tops
52,,5,12,Dresses
64,,5,0,Tops
39,,5,0,Bottoms
53,,5,1,Tops
48,,5,1,Intimate
64,,5,1,Intimate
48,,5,2,Tops
39,,5,0,Tops
33,,3,7,Tops
68,,4,9,Dresses
36,,3,1,Intimate
62,,4,0,Bottoms
42,,2,30,Bottoms
37,,5,10,Bottoms
51,,5,0,Tops
38,,5,2,Tops
59,,3,6,Bottoms
56,,3,4,Dresses
63,,2,0,Bottoms
48,,3,8,Dresses
32,,2,1,Tops
49,,5,0,Bottoms
62,,5,0,Tops
33,,5,0,Intimate
46,,3,0,Intimate
38,,4,2,Tops
35,,3,0,Bottoms
35,,5,8,Tops
26,,4,2,Tops
31,,4,0,Bottoms
55,,5,34,Bottoms
45,,5,2,Intimate
58,,5,0,Bottoms
39,,3,55,Dresses
46,,5,4,Bottoms
59,,5,2,Dresses
32,,1,0,Intimate
40,,5,1,Intimate
68,,4,0,Dresses
68,,5,1,Intimate
48,,4,10,Bottoms
62,,4,0,Bottoms
53,,5,1,Dresses
28,,5,1,Dresses
41,,3,71,Bottoms
38,,5,5,Bottoms
46,,5,2,Bottoms
49,,4,0,Bottoms
56,,5,3,Bottoms
37,,4,2,Bottoms
23,,5,0,Dresses
38,,3,0,Bottoms
28,,2,2,Intimate
29,,3,4,Dresses
53,,4,0,Dresses
39,,5,3,Bottoms
39,,4,0,Bottoms
31,,5,2,Dresses
43,,3,5,Dresses
21,,3,0,Bottoms
54,,4,0,Dresses
55,,5,6,Bottoms
63,,3,0,Bottoms
66,,4,1,Bottoms
27,,3,4,Bottoms
85,,5,4,Bottoms
64,,5,0,Bottoms
48,,4,5,Dresses
33,,2,0,Dresses
53,,2,0,Dresses
43,,4,5,Intimate
26,,5,9,Bottoms
58,,5,1,Intimate
38,,3,1,Dresses
50,,3,0,Dresses
52,,5,19,Bottoms
80,,5,1,Intimate
37,,5,4,Intimate
62,,5,0,Dresses
38,,5,0,Bottoms
59,,5,4,Bottoms
29,,2,10,Dresses
39,,5,0,Bottoms
36,,4,6,Dresses
27,,5,3,Dresses
72,,5,0,Dresses
32,,5,14,Bottoms
30,,5,2,Bottoms
34,,5,2,Tops
42,,5,0,Dresses
52,,3,1,Dresses
50,,3,1,Dresses
44,,5,3,Bottoms
37,,5,0,Dresses
30,,5,0,Tops
44,,5,0,Tops
59,,5,2,Tops
35,,3,0,Tops
57,,5,1,Tops
43,,2,7,Tops
40,,5,0,Bottoms
42,,5,0,Dresses
59,,5,16,Tops
31,,4,9,Dresses
62,,5,1,Tops
23,,3,0,Tops
38,,5,1,Bottoms
38,,5,0,Bottoms
20,,4,0,Tops
46,,3,0,Dresses
33,,5,1,Tops
37,,2,0,Dresses
60,,5,1,Dresses
37,,5,3,Tops
60,,3,0,Tops
